PMCID,Title,Abstract,ID,Inclusion
PMC4405208,Conservation of trans-acting circuitry during mammalian regulatory evolution.,"The basic body plan and major physiological axes have been highly conserved during mammalian evolution, yet only a small fraction of the human genome sequence appears to be subject to evolutionary constraint. To quantify cis- versus trans-acting contributions to mammalian regulatory evolution, we performed genomic DNase I footprinting of the mouse genome across 25 cell and tissue types, collectively defining ∼8.6 million transcription factor (TF) occupancy sites at nucleotide resolution. Here we show that mouse TF footprints conjointly encode a regulatory lexicon that is ∼95% similar with that derived from human TF footprints. However, only ∼20% of mouse TF footprints have human orthologues. Despite substantial turnover of the cis-regulatory landscape, nearly half of all pairwise regulatory interactions connecting mouse TF genes have been maintained in orthologous human cell types through evolutionary innovation of TF recognition sequences. Furthermore, the higher-level organization of mouse TF-to-TF connections into cellular network architectures is nearly identical with human. Our results indicate that evolutionary selection on mammalian gene regulation is targeted chiefly at the level of trans-regulatory circuitry, enabling and potentiating cis-regulatory plasticity.             ",NPG902,1
PMC3623555,Brown-fat paucity due to impaired BMP signalling induces compensatory browning of white fat.,"Maintenance of body temperature is essential for the survival of homeotherms. Brown adipose tissue (BAT) is a specialized fat tissue that is dedicated to thermoregulation. Owing to its remarkable capacity to dissipate stored energy and its demonstrated presence in adult humans, BAT holds great promise for the treatment of obesity and metabolic syndrome. Rodent data suggest the existence of two types of brown fat cells: constitutive BAT (cBAT), which is of embryonic origin and anatomically located in the interscapular region of mice; and recruitable BAT (rBAT), which resides within white adipose tissue (WAT) and skeletal muscle, and has alternatively been called beige, brite or inducible BAT. Bone morphogenetic proteins (BMPs) regulate the formation and thermogenic activity of BAT. Here we use mouse models to provide evidence for a systemically active regulatory mechanism that controls whole-body BAT activity for thermoregulation and energy homeostasis. Genetic ablation of the type 1A BMP receptor (Bmpr1a) in brown adipogenic progenitor cells leads to a severe paucity of cBAT. This in turn increases sympathetic input to WAT, thereby promoting the formation of rBAT within white fat depots. This previously unknown compensatory mechanism, aimed at restoring total brown-fat-mediated thermogenic capacity in the body, is sufficient to maintain normal temperature homeostasis and resistance to diet-induced obesity. These data suggest an important physiological cross-talk between constitutive and recruitable brown fat cells. This sophisticated regulatory mechanism of body temperature may participate in the control of energy balance and metabolic disease.            ",NPG012,1
PMC4270954,Mitochondrial UPR-regulated innate immunity provides resistance to pathogen infection.,"Metazoans identify and eliminate bacterial pathogens in microbe-rich environments such as the intestinal lumen; however, the mechanisms are unclear. Host cells could potentially use intracellular surveillance or stress response programs to detect pathogens that target monitored cellular activities and then initiate innate immune responses. Mitochondrial function is evaluated by monitoring mitochondrial protein import efficiency of the transcription factor ATFS-1, which mediates the mitochondrial unfolded protein response (UPR(mt)). During mitochondrial stress, mitochondrial import is impaired, allowing ATFS-1 to traffic to the nucleus where it mediates a transcriptional response to re-establish mitochondrial homeostasis. Here we examined the role of ATFS-1 in Caenorhabditis elegans during pathogen exposure, because during mitochondrial stress ATFS-1 induced not only mitochondrial protective genes but also innate immune genes that included a secreted lysozyme and anti-microbial peptides. Exposure to the pathogen Pseudomonas aeruginosa caused mitochondrial dysfunction and activation of the UPR(mt). C. elegans lacking atfs-1 were susceptible to P. aeruginosa, whereas hyper-activation of ATFS-1 and the UPR(mt) improved clearance of P. aeruginosa from the intestine and prolonged C. elegans survival in a manner mainly independent of known innate immune pathways. We propose that ATFS-1 import efficiency and the UPR(mt) is a means to detect pathogens that target mitochondria and initiate a protective innate immune response.            ",NPG015,1
PMC3656466,Glutamine supports pancreatic cancer growth through a KRAS-regulated metabolic pathway.,"Cancer cells have metabolic dependencies that distinguish them from their normal counterparts. Among these dependencies is an increased use of the amino acid glutamine to fuel anabolic processes. Indeed, the spectrum of glutamine-dependent tumours and the mechanisms whereby glutamine supports cancer metabolism remain areas of active investigation. Here we report the identification of a non-canonical pathway of glutamine use in human pancreatic ductal adenocarcinoma (PDAC) cells that is required for tumour growth. Whereas most cells use glutamate dehydrogenase (GLUD1) to convert glutamine-derived glutamate into α-ketoglutarate in the mitochondria to fuel the tricarboxylic acid cycle, PDAC relies on a distinct pathway in which glutamine-derived aspartate is transported into the cytoplasm where it can be converted into oxaloacetate by aspartate transaminase (GOT1). Subsequently, this oxaloacetate is converted into malate and then pyruvate, ostensibly increasing the NADPH/NADP(+) ratio which can potentially maintain the cellular redox state. Importantly, PDAC cells are strongly dependent on this series of reactions, as glutamine deprivation or genetic inhibition of any enzyme in this pathway leads to an increase in reactive oxygen species and a reduction in reduced glutathione. Moreover, knockdown of any component enzyme in this series of reactions also results in a pronounced suppression of PDAC growth in vitro and in vivo. Furthermore, we establish that the reprogramming of glutamine metabolism is mediated by oncogenic KRAS, the signature genetic alteration in PDAC, through the transcriptional upregulation and repression of key metabolic enzymes in this pathway. The essentiality of this pathway in PDAC and the fact that it is dispensable in normal cells may provide novel therapeutic approaches to treat these refractory tumours.            ",NPG016,1
PMC3756911,Mutations in prion-like domains in hnRNPA2B1 and hnRNPA1 cause multisystem proteinopathy and ALS.,"Algorithms designed to identify canonical yeast prions predict that around 250 human proteins, including several RNA-binding proteins associated with neurodegenerative disease, harbour a distinctive prion-like domain (PrLD) enriched in uncharged polar amino acids and glycine. PrLDs in RNA-binding proteins are essential for the assembly of ribonucleoprotein granules. However, the interplay between human PrLD function and disease is not understood. Here we define pathogenic mutations in PrLDs of heterogeneous nuclear ribonucleoproteins (hnRNPs) A2B1 and A1 in families with inherited degeneration affecting muscle, brain, motor neuron and bone, and in one case of familial amyotrophic lateral sclerosis. Wild-type hnRNPA2 (the most abundant isoform of hnRNPA2B1) and hnRNPA1 show an intrinsic tendency to assemble into self-seeding fibrils, which is exacerbated by the disease mutations. Indeed, the pathogenic mutations strengthen a 'steric zipper' motif in the PrLD, which accelerates the formation of self-seeding fibrils that cross-seed polymerization of wild-type hnRNP. Notably, the disease mutations promote excess incorporation of hnRNPA2 and hnRNPA1 into stress granules and drive the formation of cytoplasmic inclusions in animal models that recapitulate the human pathology. Thus, dysregulated polymerization caused by a potent mutant steric zipper motif in a PrLD can initiate degenerative disease. Related proteins with PrLDs should therefore be considered candidates for initiating and perhaps propagating proteinopathies of muscle, brain, motor neuron and bone.            ",NPG028,1
PMC4773894,Hepatitis A virus and the origins of picornaviruses.,"Hepatitis A virus (HAV) remains enigmatic, despite 1.4 million cases worldwide annually. It differs radically from other picornaviruses, existing in an enveloped form and being unusually stable, both genetically and physically, but has proved difficult to study. Here we report high-resolution X-ray structures for the mature virus and the empty particle. The structures of the two particles are indistinguishable, apart from some disorder on the inside of the empty particle. The full virus contains the small viral protein VP4, whereas the empty particle harbours only the uncleaved precursor, VP0. The smooth particle surface is devoid of depressions that might correspond to receptor-binding sites. Peptide scanning data extend the previously reported VP3 antigenic site, while structure-based predictions suggest further epitopes. HAV contains no pocket factor and can withstand remarkably high temperature and low pH, and empty particles are even more robust than full particles. The virus probably uncoats via a novel mechanism, being assembled differently to other picornaviruses. It utilizes a VP2 'domain swap' characteristic of insect picorna-like viruses, and structure-based phylogenetic analysis places HAV between typical picornaviruses and the insect viruses. The enigmatic properties of HAV may reflect its position as a link between 'modern' picornaviruses and the more 'primitive' precursor insect viruses; for instance, HAV retains the ability to move from cell-to-cell by transcytosis.             ",NPG031,1
PMC3579002,FOXO3A directs a protective autophagy program in haematopoietic stem cells.,"Blood production is ensured by rare, self-renewing haematopoietic stem cells (HSCs). How HSCs accommodate the diverse cellular stresses associated with their life-long activity remains elusive. Here we identify autophagy as an essential mechanism protecting HSCs from metabolic stress. We show that mouse HSCs, in contrast to their short-lived myeloid progeny, robustly induce autophagy after ex vivo cytokine withdrawal and in vivo calorie restriction. We demonstrate that FOXO3A is critical to maintain a gene expression program that poises HSCs for rapid induction of autophagy upon starvation. Notably, we find that old HSCs retain an intact FOXO3A-driven pro-autophagy gene program, and that ongoing autophagy is needed to mitigate an energy crisis and allow their survival. Our results demonstrate that autophagy is essential for the life-long maintenance of the HSC compartment and for supporting an old, failing blood system.            ",NPG044,1
PMC4843961,The emergence of functional microcircuits in visual cortex.,"Sensory processing occurs in neocortical microcircuits in which synaptic connectivity is highly structured and excitatory neurons form subnetworks that process related sensory information. However, the developmental mechanisms underlying the formation of functionally organized connectivity in cortical microcircuits remain unknown. Here we directly relate patterns of excitatory synaptic connectivity to visual response properties of neighbouring layer 2/3 pyramidal neurons in mouse visual cortex at different postnatal ages, using two-photon calcium imaging in vivo and multiple whole-cell recordings in vitro. Although neural responses were already highly selective for visual stimuli at eye opening, neurons responding to similar visual features were not yet preferentially connected, indicating that the emergence of feature selectivity does not depend on the precise arrangement of local synaptic connections. After eye opening, local connectivity reorganized extensively: more connections formed selectively between neurons with similar visual responses and connections were eliminated between visually unresponsive neurons, but the overall connectivity rate did not change. We propose a sequential model of cortical microcircuit development based on activity-dependent mechanisms of plasticity whereby neurons first acquire feature preference by selecting feedforward inputs before the onset of sensory experience--a process that may be facilitated by early electrical coupling between neuronal subsets--and then patterned input drives the formation of functional subnetworks through a redistribution of recurrent synaptic connections.            ",NPG045,1
PMC4000705,Regulation of mTORC1 by the Rag GTPases is necessary for neonatal autophagy and survival.,"The mechanistic target of rapamycin complex 1 (mTORC1) pathway regulates organismal growth in response to many environmental cues, including nutrients and growth factors. Cell-based studies showed that mTORC1 senses amino acids through the RagA-D family of GTPases (also known as RRAGA, B, C and D), but their importance in mammalian physiology is unknown. Here we generate knock-in mice that express a constitutively active form of RagA (RagA(GTP)) from its endogenous promoter. RagA(GTP/GTP) mice develop normally, but fail to survive postnatal day 1. When delivered by Caesarean section, fasted RagA(GTP/GTP) neonates die almost twice as rapidly as wild-type littermates. Within an hour of birth, wild-type neonates strongly inhibit mTORC1, which coincides with profound hypoglycaemia and a decrease in plasma amino-acid concentrations. In contrast, mTORC1 inhibition does not occur in RagA(GTP/GTP) neonates, despite identical reductions in blood nutrient amounts. With prolonged fasting, wild-type neonates recover their plasma glucose concentrations, but RagA(GTP/GTP) mice remain hypoglycaemic until death, despite using glycogen at a faster rate. The glucose homeostasis defect correlates with the inability of fasted RagA(GTP/GTP) neonates to trigger autophagy and produce amino acids for de novo glucose production. Because profound hypoglycaemia does not inhibit mTORC1 in RagA(GTP/GTP) neonates, we considered the possibility that the Rag pathway signals glucose as well as amino-acid sufficiency to mTORC1. Indeed, mTORC1 is resistant to glucose deprivation in RagA(GTP/GTP) fibroblasts, and glucose, like amino acids, controls its recruitment to the lysosomal surface, the site of mTORC1 activation. Thus, the Rag GTPases signal glucose and amino-acid concentrations to mTORC1, and have an unexpectedly key role in neonates in autophagy induction and thus nutrient homeostasis and viability.            ",NPG065,1
PMC4351747,Discovery and characterization of small molecules that target the GTPase Ral.,"The Ras-like GTPases RalA and RalB are important drivers of tumour growth and metastasis. Chemicals that block Ral function would be valuable as research tools and for cancer therapeutics. Here we used protein structure analysis and virtual screening to identify drug-like molecules that bind to a site on the GDP-bound form of Ral. The compounds RBC6, RBC8 and RBC10 inhibited the binding of Ral to its effector RALBP1, as well as inhibiting Ral-mediated cell spreading of murine embryonic fibroblasts and anchorage-independent growth of human cancer cell lines. The binding of the RBC8 derivative BQU57 to RalB was confirmed by isothermal titration calorimetry, surface plasmon resonance and (1)H-(15)N transverse relaxation-optimized spectroscopy (TROSY) NMR spectroscopy. RBC8 and BQU57 show selectivity for Ral relative to the GTPases Ras and RhoA and inhibit tumour xenograft growth to a similar extent to the depletion of Ral using RNA interference. Our results show the utility of structure-based discovery for the development of therapeutics for Ral-dependent cancers.             ",NPG069,1
