"ID","Title","Abstract","Is_Conference","Is_English","PDF_Status","Manual_TiAb","Manual_FullText","Regex_TiAb","Regex_FullText","Validation"
"000d792f-3919-4343-904f-ccb33d95f855","Neuroprotective effect of muscone on glutamate-induced apoptosis in PC12 cells via antioxidant and Ca2+ antagonism","In the pathogenesis of cerebral ischemia, glutamate excitotoxicity activates N-methyl-d-aspartate (NMDA) receptors which induce calcium influx and oxidative stress. Muscone exerts potent neuroprotective activities on cerebral ischemia. However, its underlying mechanism is yet to be elucidated. In this study, we demonstrated that pretreatment with muscone in PC12 cells markedly ameliorated the loss of cell viability, mitochondrial membrane potential (MMP) collapse, the release of lactate dehydrogenase (LDH), Ca2+ overload, reactive oxygen species (ROS) generation, and cell apoptosis induced by glutamate. Furthermore, muscone also decreased NR1 (NMDA receptor subunit 1) protein expression, the ratio of Bax/Bcl-2 protein expression and prevented activitation of Ca2+/calmodulin-dependent protein kinase type II (CaMKII) and ASK1/JNK/p38 signaling pathways elicited by glutamate in PC12 cells. In conclusion, our results provided novel evidence that muscone protected PC12 cells against glutamate-induced apoptosis by attenuating ROS generation and Ca2+ influx, via NR1 and CaMKII-depended ASK-1/JNK/p38 signaling pathways. © 2014 Elsevier Ltd. All rights reserved.","No","Yes","OK: File is read Successfully","Excluded","Excluded",0,1,"Excluded"
"00645d4c-4626-41b9-808f-f283d13a8dbe","Role of ALK5/SMAD2/3 signaling in the regulation of NOX expression in cerebral ischemia/reperfusion injury","Nicotinamide adenine dinucleotide phosphate oxidase (NOX)-derived reactive oxygen species (ROS) serve an important role in cerebral ischemia/reperfusion (I/R) injury. However, the mechanism by which ROS generation is regulated has not yet been fully elucidated. The present study aimed to explore the role of transforming growth factor-beta signaling in ROS generation. Sprague Dawley rats were subjected to I/R injury and PC-12 cells were transfected with small interfering RNA against activin receptor-like kinase (ALK)5 or hypoxia/reoxygenation (H/R). The results indicated that I/R or H/R significantly increased ALK5 expression, SMAD2/3 phosphorylation and NOX2/4 expression and activity, concomitant with ROS generation and apoptosis. In addition, ALK5 knockdown significantly reversed changes induced by H/R treatment in PC-12 cells. These results suggest that ALK5/SMAD2/3 signaling serves a key role in oxidative stress. To the best of our knowledge, this is the first study to demonstrate that ALK5/SMAD2/3 activation is associated with the regulation of NOX2/4 expression and exacerbates I/R injury. Copyright © 2018, Spandidos Publications. All rights reserved.","No","Yes","OK: File is read Successfully","Included","Included",0,0,"Excluded"
"00983cda-7369-4155-9055-93875cf4a68e","Effects of standardized extract of Ferula gummosa root on glutamate-induced neurotoxicity","Glutamate is one of the major excitatory neurotransmitters in the central nervous system. Increasing glutamate leads to neurodegenerative disease. Nowadays, plant medicine plays a role in the treatment of some disorders. In this research, we investigated the neuroprotective effect of Ferula gummosa root extract against glutamate-induced oxidative stress in the rat adrenal pheochromocytoma (PC12) and mouse neuroblastoma (N2a) cell lines. The cells were pretreated with extract for 2 h and then exposed to glutamate for 24 h. After 24 h the level of malondialdehyde (MDA), reactive oxygen species (ROS), and apoptotic cells were determined in both cell lines. Glutamate increased lipid peroxidation, ROS, and apoptotic cells in both cell lines. The extract significantly increased the cell viability and decreased the ROS generation under glutamate-induced oxidative stress in these cells. Also, the extract decreased the MDA level and apoptotic cells. The results showed that Ferula gummosa root may have a protective effect on glutamate- induced toxicity, suggesting that the extract protects neuronal cells from glutamate-induced oxidative stress.","No","Yes","OK: File is read Successfully","Excluded","Excluded",0,1,"Excluded"
"0153332a-2bad-4d75-a807-81a546ff3093","Botanical Drug Puerarin Attenuates 6-Hydroxydopamine (6-OHDA)-Induced Neurotoxicity via Upregulating Mitochondrial Enzyme Arginase-2","Inhibition of nitric oxide synthases (NOSs) shows promise to halt the progression of neurodegenerative diseases. The present study was designed to explore whether botanical isoflavone puerarin could attenuate nitric oxide (NO)-mediated neurotoxicity via modulating the enzymes in the L-arginine-NO pathway. Neurotoxin 6-hydroxydopamine (6-OHDA) is well known to induce neurodegeneration via a NO-dependent mechanism. We first validated that puerarin protected rat dopamingeric PC12 cells against 6-OHDA-induced neurotoxicity in a concentration-dependent manner. We subsequently profiled the cellular responses to puerarin by a proteomic response fingerprinting approach. A total of 16 protein spots with >1.5-fold change of intensity were selected and identified by mass spectrometry. As one of puerarin-upregulated proteins, mitochondrial arginase-2 hydrolyzes L-arginine to L-ornithine, thereby competing with neuronal NOS for substrate L-arginine in mitochondria. Thus, we hypothesize that puerain may attenuate nitric oxide (NO)-mediated mitochondrial injury via increasing arginase-2 expression. Western blot and reverse transcription polymerase chain reaction (RT-PCR) analyses confirmed that puerarin increased arginase-2 expression in a concentration- and time-dependent manner. Accordingly, puerarin suppressed 6-OHDA-induced NO production and neurotoxicity in PC12 cells and primary rat midbrain neurons. Arginase inhibitor BEC diminished the effect of puerarin on 6-OHDA-induced NO production and neurotoxicity. The activation of arginase-2 by puerarin represents an endogenous mechanism for specific control of NO-mediated mitochondrial damage. Thus, puerarin is a useful lead for suppressing NO-mediated neurotoxicity in neurodegenerative diseases. [Figure not available: see fulltext.] Copyright © 2015, Springer Science+Business Media New York.","No","Yes","OK: File is read Successfully","Excluded","Excluded",0,1,"Excluded"
"02653af8-4ef4-40af-8683-147409fd6348","Hydrogen sulfide protects against cell damage through modulation of PI3K/Akt/Nrf2 signaling","Hydrogen sulfide as the third endogenous gaseous mediator had protective effects against traumatic brain injury-induced neuronal damage in mice. However, the exact pathophysiological mechanism underlying traumatic brain injury is complicated and the protective role of H2S is not yet fully known. Therefore, we combined the mechanical injury (scratch) with secondary injury including metabolic impairment (no glucose) together to investigate the underlying cellular mechanism of hydrogen sulfide in vitro models of traumatic brain injury. In the present study, we found that H2S could prevent the scratch-induced decrease in the expression of cystathionine-beta-synthetase, a key enzyme involved in the source of hydrogen sulfide, and endogenous hydrogen sulfide generation in PC12 cells. We also found that hydrogen sulfide could prevent scratch-induced cellular injury, alteration of mitochondrial membrane potential, intracellular accumulation of reactive oxygen species and cell death (autophagic cell death and apoptosis) in PC12 cells. It was also found that blocking PI3K/AKT pathway by LY294002, abolished the protection of H2S against scratch-induced cellular reactive oxygen species level and NRF2 accumulation and function in the nucleus. These results suggest that hydrogen sulfide protects against cell damage induced by scratch injury through modulation of the PI3K/Akt/Nrf2 pathway. This study raises the possibility that hydrogen sulfide may have therapeutic efficacy in traumatic brain injury.Copyright © 2019 Elsevier Ltd","No","Yes","OK: File is read Successfully","Excluded","Excluded",0,2,"Excluded"
"0467a4bd-75f3-4f50-8a8c-071d968bcfff","Mild sustained and intermittent hypoxia induce apoptosis in PC-12 cells via different mechanisms","Episodic hypoxia, a characteristic feature of obstructive sleep apnea, induces cellular changes and apoptosis in brain regions associated with neurocognitive function. To investigate whether mild, intermittent hypoxia would induce more extensive neuronal damage than would a similar degree of sustained hypoxia, rat pheochromocytoma PC-12 neuronal cells were subjected to either sustained (5% O(2)) or intermittent (alternating 5% O(2) 35 min, 21% O(2) 25 min) hypoxia for 2 or 4 days. Quantitative assessment of apoptosis showed that while mild sustained hypoxia did not significantly increase cell apoptosis at 2 days (1.31 +/- 0.29-fold, n = 8; P = NS), a significant increase in apoptosis occurred after 4 days (2.25 +/- 0.4-fold, n = 8; P < 0.002), without increased caspase activation. Furthermore, caspase inhibition with the general caspase inhibitor N-benzyloxycarbonyl-Val-Ala-Asp-fluoromethyl ketone (Z-VAD-FMK) did not modify sustained hypoxia-induced apoptosis. In contrast, mild, intermittent hypoxia induced significant increases in apoptosis at 2 days (3.72 +/- 1.43-fold, n = 8; P < 0.03) and at 4 days (4.57 +/- 0.82-fold, n = 8; P < 0.001) that was associated with enhanced caspase activity and attenuated by Z-VAD-FMK pretreatment. We conclude that intermittent hypoxia induces an earlier and more extensive apoptotic response than sustained hypoxia and that this response is at least partially dependent on caspase-mediated pathways. In contrast, caspases do not seem to play a role in sustained hypoxia-induced apoptosis. These findings suggest that different signaling pathways are involved in sustained and intermittent hypoxia-induced cell injury and may contribute to the understanding of differential brain susceptibility to sustained and intermittent hypoxia.","No","Yes","OK: File is read Successfully","Excluded","Excluded",0,1,"Excluded"
"04aa69a4-b635-4b61-b201-a82bc4d4c8df","Aminoindan and hydroxyaminoindan, metabolites of rasagiline and ladostigil, respectively, exert neuroprotective properties in vitro","The anti-Parkinson, selective irreversible monoamine oxidase B inhibitor drug, rasagiline (Azilect), recently approved by the US Food and Drug Administration, has been shown to possess neuroprotective-neurorescue activities in in vitro and in vivo models. Recent preliminary studies indicated the potential neuroprotective effect of the major metabolite of rasagiline, 1-(R)-aminoindan. In the current study, the neuroprotective properties of 1-(R)-aminoindan were assessed employing a cytotoxic model of human neuroblastoma SK-N-SH cells in high-density culture-induced neuronal death. We show that aminoindan (0.1-1 mumol/L) significantly reduced the apoptosis-associated phosphorylated protein, H2A.X (Ser139), decreased the cleavage of caspase 9 and caspase 3, while increasing the anti-apoptotic proteins, Bcl-2 and Bcl-xl. Protein kinase C (PKC) inhibitor, GF109203X, prevented the neuroprotection, indicating the involvement of PKC in aminoindan-induced cell survival. Aminoindan markedly elevated pPKC(pan) and specifically that of the pro-survival PKC isoform, PKCepsilon. Additionally, hydroxyaminoindan, a metabolite of a novel bifunctional drug, ladostigil [(N-propargyl-(3R) aminoindan-5yl)-ethyl methyl carbamate], combining cholinesterase and monoamine oxidase inhibitor activity, exerted similar neuroprotective properties. Aminoindan and hydroxyaminoindan also protected rat pheochromacytoma PC-12 cells against the neurotoxin, 6-hydroxydopamine. Our findings suggest that both metabolites may contribute to the overall neuroprotective activity of their respective parent compounds, further implicating rasagiline and ladostigil as potentially valuable drugs for treatment of a wide variety of neurodegenerative disorders of aging. © 2007 The Authors.","No","Yes","OK: File is read Successfully","Excluded","Excluded",0,2,"Excluded"
"059ed673-6180-4c11-ba24-fb8c75e856a1","Lychee seed fraction inhibits Abeta(1-42)-induced neuroinflammation in BV-2 cells via NF-kappaB signaling pathway","In our previous studies, an active fraction derived from lychee seed could inhibit beta-amyloid-induced apoptosis of PC12 cells and neurons. The primarily microglia cells are recognized as the brains resident macrophages and thought to remodel of the brain by removing presumably redundant, apoptotic neurons. In the current study, we aimed to investigate the anti-neuroinflammation effect of lychee seed fraction (LSF) in Abeta(1-42)-induced BV-2 cells and the underlying mechanism. The morphology results displayed that LSF could improve the status of Abeta(1-42)-induced BV-2 cells. The enzyme-linked immunosorbent assay, real-time PCR, and Western blotting results showed that LSF could significantly reduce the release, mRNA levels, and protein expressions of the pro-inflammatory cytokines such as interleukin-1beta (IL-1beta), tumor necrosis factor alpha (TNF-alpha), cyclooxygenase-2 (COX-2), and inducible nitric oxide synthase (iNOS) in Abeta(1-42)-induced BV-2 cells, which were downregulated through suppressing the NF-kappaB signaling pathway. Furthermore, LSF could upregulate Bcl-2 and downregulate Bax, Caspase-3, and cleaved-PARP protein expressions. Taken together, our results first demonstrated that LSF could suppress the inflammatory response via inhibiting NF-kappaB signaling pathway, and inhibit apoptosis in Abeta(1-42)-induced BV-2 cells. Our findings further prove that LSF as a potential drug may be used for treating AD in the future. Copyright © 2018 Zhao, Zeng, Wu, Yu, Tang, Wang, Xiong, Chen, Wu and Qin.","No","Yes","OK: File is read Successfully","Excluded","Excluded",0,1,"Excluded"
"06d44baa-2733-4f7f-b23d-cd6825723dd6","Undifferentiated and Differentiated PC12 Cells Protected by Huprines Against Injury Induced by Hydrogen Peroxide","Oxidative stress is implicated in the pathogenesis of neurodegenerative disorders and hydrogen peroxide (H2O2) plays a central role in the stress. Huprines, a group of potent acetylcholinesterase inhibitors (AChEIs), have shown a broad cholinergic pharmacological profile. Recently, it has been observed that huprine X (HX) improves cognition in non transgenic middle aged mice and shows a neuroprotective activity (increased synaptophysin expression) in 3xTg-AD mice. Consequently, in the present experiments the potential neuroprotective effect of huprines (HX, HY, HZ) has been analyzed in two different in vitro conditions: undifferentiated and NGF-differentiated PC12 cells. Cells were subjected to oxidative insult (H2O2, 200 muM) and the protective effects of HX, HY and HZ (0.01 muM-1 muM) were analyzed after a pre-incubation period of 24 and 48 hours. All huprines showed protective effects in both undifferentiated and NGF-differentiated cells, however only in differentiated cells the effect was dependent on cholinergic receptors as atropine (muscarinic antagonist, 0.1 muM) and mecamylamine (nicotinic antagonist, 100 muM) reverted the neuroprotection action of huprines. The decrease in SOD activity observed after oxidative insult was overcome in the presence of huprines and this effect was not mediated by muscarinic or nicotinic receptors. In conclusion, huprines displayed neuroprotective properties as previously observed in in vivo studies. In addition, these effects were mediated by cholinergic receptors only in differentiated cells. However, a non-cholinergic mechanism, probably through an increase in SOD activity, seems to be also involved in the neuroprotective effects of huprines. © 2013 Pera et al.","No","Yes","OK: File is read Successfully","Excluded","Excluded",0,5,"Excluded"
"08d8971e-4f32-4720-9c78-5e89ad4349f7","Potential neuroprotective effects of SIRT1 induced by glucose deprivation in PC12 cells","Nutrient availability is one of the most important signals regulating cellular fates including cell growth, differentiation, and death. Recent evidence suggests that the NAD+-dependent histone deacetylase sirtuin 1 (SIRT1) plays a prominent role in linking changes in nutritional availability with cellular fate regulation. SIRT1 expression is observed in neurons, yet the expressional and functional regulation of this protein is not fully understood. In the present study, we examined whether extracellular glucose concentration affects the expression and localization of SIRT1 in PC12 cells. Further, we examined levels of forkhead box O3a (FoxO3a), which is also controlled by changes in extracellular glucose concentration. We observed the total expression levels of SIRT1 and FoxO3a in PC12 cells were reduced when glucose availability increased via gene expressional control, at least in part. Nuclear localization of SIRT1 and FoxO3a was increased by glucose deprivation. Even though the changes in extracellular glucose concentration regulated SIRT1 and FoxO3a in a similar direction, the effects of nerve growth factor on these two proteins were completely different. Finally, we found the potent SIRT1 inhibitor enhanced glucose deprivation-induced cell death. Therefore, we propose that glucose deprivation-induced SIRT1 expression potentially plays a major role in protecting PC12 cells. © 2013 Elsevier Ireland Ltd.","No","Yes","OK: File is read Successfully","Excluded","Excluded",0,5,"Excluded"
